album_name,song,date,artist,Featured Artist,Featured Artist 2,Explicitness ,Chorus Words,Intro,Outro,Sentiment Score (Old),Sentiment,Sentiment Score,Adjusted,Color Words,Nature Words,Body Parts,Total Words,Unique Words,Lexical Diversity,Average Word Length,You Count,We Count,I Count,You Ratio,I Ratio,We Ratio,Dominant Pronoun,Bridge,Pre-Chorus,Temporal Words,Temporal Density
Red (Taylor's Version),All Too Well (10 Minute Version),12/11/2021,Taylor Swift,,,Explicit,35,FALSE,TRUE,0.158521026,Negative,-0.804505348,TRUE,3,12,12,1009,329,0.3261,3.63,47,34,65,0.0466,0.0644,0.0337,I Count,TRUE,TRUE,52,0.0515
The Tortured Poets Department,But Daddy I Love Him,4/19/2024,Taylor Swift,,,Explicit,52,FALSE,TRUE,-0.086057045,Neutral,-0.286057045,TRUE,4,6,3,603,241,0.3997,3.66,17,3,35,0.0282,0.058,0.005,I Count,TRUE,TRUE,20,0.0332
Speak Now (Taylor's Version),Timeless (Taylor’s Version) [From the Vault],7/7/2023,Taylor Swift,,,Clean,80,FALSE,TRUE,0.36302194,Positive,0.36302194,FALSE,3,0,10,562,206,0.3665,3.7,24,22,19,0.0427,0.0338,0.0391,You Count,TRUE,TRUE,36,0.0641
Red,All Too Well,10/22/2012,Taylor Swift,,,Clean,35,FALSE,TRUE,0.142623037,Negative,-0.804505348,TRUE,2,5,5,485,202,0.4165,3.65,23,18,28,0.0474,0.0577,0.0371,I Count,TRUE,TRUE,26,0.0536
Red (Taylor's Version),All Too Well (Taylor’s Version),12/11/2021,Taylor Swift,,,Clean,35,FALSE,TRUE,0.142623037,Negative,-0.804505348,TRUE,2,5,5,485,202,0.4165,3.65,23,18,28,0.0474,0.0577,0.0371,I Count,TRUE,TRUE,26,0.0536
The Tortured Poets Department,loml,4/19/2024,Taylor Swift,,,Explicit,69,FALSE,FALSE,-0.026548758,Negative,-0.348133266,TRUE,2,5,3,386,202,0.5233,3.84,15,7,19,0.0389,0.0492,0.0181,I Count,TRUE,FALSE,27,0.0699
Bigger,Babe (feat. Taylor Swift),4/20/2018,"Sugarland, Taylor Swift",Taylor Swift,,Clean,48,FALSE,TRUE,-0.616080821,Negative,-0.616080821,FALSE,0,0,3,367,93,0.2534,3.45,27,8,15,0.0736,0.0409,0.0218,You Count,TRUE,TRUE,27,0.0736
1989,Bad Blood (feat. Kendrick Lamar),5/17/2015,"Taylor Swift, Kendrick Lamar",Kendrick Lamar,,Clean,59,TRUE,FALSE,-0.648241818,Negative,-0.648241818,FALSE,0,1,23,617,147,0.2382,3.36,38,25,16,0.0616,0.0259,0.0405,You Count,TRUE,TRUE,29,0.047
Red (Taylor's Version),I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) [From the Vault],12/11/2021,"Taylor Swift, Chris Stapleton",Chris Stapleton,,Explicit,32,FALSE,TRUE,0.023322707,Negative,-0.709742904,TRUE,1,4,3,449,193,0.4298,3.5,34,7,25,0.0757,0.0557,0.0156,You Count,TRUE,FALSE,17,0.0379
The Tortured Poets Department,"So Long, London",4/19/2024,Taylor Swift,,,Clean,25,TRUE,FALSE,-0.380782574,Negative,-0.380782574,FALSE,1,4,6,393,187,0.4758,3.61,16,2,25,0.0407,0.0636,0.0051,I Count,TRUE,FALSE,15,0.0382
1989,Blank Space,10/11/2014,Taylor Swift,,,Clean,95,FALSE,FALSE,-0.01988394,Neutral,-0.01988394,FALSE,1,7,4,582,182,0.3127,3.38,32,9,31,0.055,0.0533,0.0155,You Count,TRUE,FALSE,16,0.0275
1989 (Taylor's Version),Blank Space (Taylor’s Version),10/27/2023,Taylor Swift,,,Clean,95,FALSE,FALSE,-0.01988394,Neutral,-0.01988394,FALSE,1,7,4,582,182,0.3127,3.38,32,9,31,0.055,0.0533,0.0155,You Count,TRUE,FALSE,16,0.0275
